year,practice_id,indicator,denominator,exceptions
1516,E82613,MH010,0,
1516,J82199,MH010,0,
1516,Y04942,MH010,0,
1516,Y05167,MH010,0,
1516,E82630,MH010,1,
1516,Y04943,MH010,1,
1516,Y04944,MH010,1,
1516,E82603,MH010,2,
1516,E82656,MH010,4,
1516,Y04945,MH010,5,
1516,L83023,MH010,6,
1516,M81002,MH010,13,
1516,A81003,MH010,0,0.0
1516,A81041,MH010,0,0.0
1516,A81608,MH010,0,0.0
1516,A81630,MH010,0,0.0
1516,A81632,MH010,0,0.0
1516,A81633,MH010,0,0.0
1516,A81634,MH010,0,0.0
1516,A82063,MH010,0,0.0
1516,A82613,MH010,0,0.0
1516,A82620,MH010,0,0.0
1516,A82631,MH010,0,0.0
1516,A83617,MH010,0,0.0
1516,A83637,MH010,0,0.0
1516,A86027,MH010,0,0.0
1516,A88010,MH010,0,0.0
1516,A88011,MH010,1,0.0
1516,A88603,MH010,0,0.0
1516,A88611,MH010,0,0.0
1516,A89014,MH010,1,0.0
1516,A89040,MH010,0,0.0
1516,A89603,MH010,0,0.0
1516,A89604,MH010,0,0.0
1516,A89624,MH010,0,0.0
1516,B81085,MH010,0,0.0
1516,B81094,MH010,0,0.0
1516,B81097,MH010,0,0.0
1516,B81104,MH010,1,0.0
1516,B81619,MH010,0,0.0
1516,B81620,MH010,0,0.0
1516,B81634,MH010,1,0.0
1516,B81642,MH010,0,0.0
1516,B81644,MH010,0,0.0
1516,B81663,MH010,0,0.0
1516,B81664,MH010,0,0.0
1516,B81683,MH010,1,0.0
1516,B81685,MH010,0,0.0
1516,B81688,MH010,0,0.0
1516,B81690,MH010,0,0.0
1516,B81693,MH010,0,0.0
1516,B81697,MH010,0,0.0
1516,B82019,MH010,0,0.0
1516,B82619,MH010,0,0.0
1516,B83025,MH010,0,0.0
1516,B83026,MH010,0,0.0
1516,B83034,MH010,0,0.0
1516,B83069,MH010,0,0.0
1516,B83604,MH010,0,0.0
1516,B83611,MH010,0,0.0
1516,B83613,MH010,0,0.0
1516,B83622,MH010,0,0.0
1516,B83631,MH010,0,0.0
1516,B83641,MH010,0,0.0
1516,B85044,MH010,1,0.0
1516,B85048,MH010,0,0.0
1516,B85059,MH010,0,0.0
1516,B85062,MH010,0,0.0
1516,B85611,MH010,0,0.0
1516,B85619,MH010,0,0.0
1516,B85634,MH010,0,0.0
1516,B85645,MH010,0,0.0
1516,B85650,MH010,0,0.0
1516,B85659,MH010,0,0.0
1516,B86005,MH010,0,0.0
1516,B86086,MH010,0,0.0
1516,B86101,MH010,0,0.0
1516,B86623,MH010,1,0.0
1516,B86638,MH010,2,0.0
1516,B86651,MH010,0,0.0
1516,B86666,MH010,0,0.0
1516,B86670,MH010,1,0.0
1516,B87044,MH010,0,0.0
1516,B87600,MH010,0,0.0
1516,B87604,MH010,0,0.0
1516,C81077,MH010,0,0.0
1516,C81642,MH010,0,0.0
1516,C82028,MH010,0,0.0
1516,C82052,MH010,1,0.0
1516,C82081,MH010,0,0.0
1516,C82097,MH010,0,0.0
1516,C82105,MH010,0,0.0
1516,C82119,MH010,0,0.0
1516,C82620,MH010,0,0.0
1516,C82623,MH010,0,0.0
1516,C82650,MH010,0,0.0
1516,C82653,MH010,0,0.0
1516,C82659,MH010,0,0.0
1516,C82670,MH010,0,0.0
1516,C82680,MH010,2,0.0
1516,C83021,MH010,0,0.0
1516,C83080,MH010,2,0.0
1516,C83626,MH010,0,0.0
1516,C83628,MH010,0,0.0
1516,C83643,MH010,0,0.0
1516,C83652,MH010,0,0.0
1516,C84104,MH010,0,0.0
1516,C84145,MH010,0,0.0
1516,C84150,MH010,0,0.0
1516,C84633,MH010,0,0.0
1516,C84650,MH010,0,0.0
1516,C84676,MH010,0,0.0
1516,C84680,MH010,0,0.0
1516,C85623,MH010,0,0.0
1516,C86030,MH010,0,0.0
1516,C86626,MH010,0,0.0
1516,C87023,MH010,1,0.0
1516,C87610,MH010,0,0.0
